Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,,1131,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​,ការ​ដាំ​ដុះ​ដំណាំបន្លែ​យកដើម​​​ និង​សឹ្លក ​​(៦)​
,,1132,ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧),ការ​ដាំ​ដុះដំណាំ​​បន្លែ​យក​ផ្លែ (៧)
,,1133,ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨),ការ​ដាំ​ដុះ​ដំណាំ​អម្បូរ​​​ត្រសក់​ផ្អែម​ (៨)
,,1134,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត,ការ​ដាំដុះដំណាំ​ផ្សិត
,,1135,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់,​ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់
,,1136,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​,ការ​ដាំដុះ​ដំណាំបន្លែ​គ្រាប់​ផ្សេងទៀត​
,,1137,ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩),ការដាំដុះ​ដំណាំ​យក​​ឫស ឬមើម(៩)
,114,,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ
,,1140,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ,ការ​ដាំ​ដុះដំណាំ​អំពៅ
,115,,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់,ការដាំដុះដំណាំថ្នាំជក់
