Group,Level,Sub-Level,Description,Description,Description,Description,Description,Description,Description,Description
,2591,25910,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ ,ការដំ ការ​សង្កត់​ការ​វាយកាក់​និង​ការ​កិន​លោហធាតុ​​ជា​រាង លោហកម្ម​ម្សៅ​លោហធាតុ​ 
,2592,25920,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​,ប្រព្រឹត្តិ​កម្ម និង​ការពាស​លោហធាតុ ការ​ក្រឡឹង​
,2593,25930,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ,កម្មន្ដសាល​ គ្រឿង​​កាំបិត​ឧបករណ៍​ដៃនិង​គ្រឿងដែក​ប្រើប្រាស់​ទូទៅ
,2594,25940,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​,កម្មន្ដសាល ធុង​មាន​ដៃ​យួរ​ កំប៉ុងធុងធំនិ​ងកុងតេណឺ​ ​ស្រដៀង​គ្នា​ ធ្វើពីលោហធាតុ​
,2595,25950,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​,កម្មន្ដសាល ផលិតផលខ្សែច្រវ៉ាក់រ៉ឺស័រ​និងវីសមួល (លើក​លែងខ្សែកាប​ធ្វើពីលោហធាតុ​)​
,2599,,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​
,,25991,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ,កម្មន្ដសាល ឧបករណ៍​​ប្រើប្រាស់​ក្នុង​ផ្ទះ
,,25999,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​,កម្មន្ដសាល ផលិតផលពី​​លោហធាតុ​​កែច្នៃ​​​​ ដទៃទៀតដែល​ពុំ​បាន​រាប់​បញ្ចូល​
261,,,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក,កម្មន្ដសាល ​​​គ្រឿង​បង្គុំ​អេឡិចត្រូនិក
,2610,,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក
,,26101,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក,កម្មន្ដសាល សន្ទះ និងបំពង់​ អេឡិចត្រូនិក
,,26102,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត,កម្មន្ដសាល សឺមី​កុង​ឌុច​ទ័រ​ និងគ្រឿង​បង្គុំ​អេឡិចត្រូនិក​ដទៃទៀត
262,,,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ,កម្មន្តសាល កុំព្យូទ័រនិងគ្រឿងតភ្ជាប់ជាមួយកុំព្យូទ័រ
,2620,,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក
,,26201,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក,កម្មន្ដសាល និង/ឬ តម្លើងកុំព្យូទ័រអេឡិចត្រូនិក
,,26202,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ,កម្មន្ដសាល ​គ្រឿង​បន្លាស់​កុំព្យូទ័រ
263,,,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍,កម្មន្តសាល បរិក្ខារទូរគមនាគមន៍
,2631,,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​
,,26310,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​( លើកលែង​បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ)​
,2632,26320,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ឥតខ្សែ
,2639,26390,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល,កម្មន្ដសាល បរិក្ខារ​ទូរគមនាគមន៍​​ ដទៃ​​ទៀតដែលពុំបាន​រាប់បញ្ចូល
264,,,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក,កម្មន្តសាល គ្រឿងប្រើប្រាស់អេឡិចត្រូនិក
,2641,26410,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍,កម្មន្តសាល និង/ឬដំឡើងទូរទស្សន៍
,2642,26420,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​,កម្មន្ដសាល ​បរិក្ខារ​ថត​សំឡេង និងរូបភាព បរិក្ខារ​​ទទួល និងថតចម្លង(​លើក​លែងទូរទស្សន៍)​
,2649,26490,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល,កម្មន្ដសាល ​គ្រឿង​ប្រើប្រាស់​អេឡិចត្រូនិក ដទៃទៀត​ដែលពុំ​បានរាប់បញ្ចូល
265,,,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង,កម្មន្តសាល បរិក្ខាររង្វាស់ធ្វើតេស្ដ រកទិស និងត្រួតពិនិត្យ នាឡិកាដៃ និង នាឡិកាព្យួរជញ្ជាំង
,2651,26510,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ,កម្មន្ដសាល បរិក្ខារ​រង្វាស់​ ធ្វើ​តេស្ត រកទិស និង​​ត្រួត​ពិនិត្យ
